,,logFC,betweenness,pagerank,closeness,katz,eigenvector,eigentrust
up,LY96,0.5420916732070215,0.0,0.026742712592624587,0.09910421345731728,0.030728679565045436,0.004653931503731349,0.05189466158245953
up,COL6A3,0.5416968676138574,0.0,0.0,,0.0,0.0,0.0
up,SERPINE1,0.5368069724263259,0.0008613695352858054,0.18310424932954159,0.48813379892240355,0.08723697978899958,4.3261229238556385e-66,0.25119306747159426
up,MMP12,0.5312528164644522,0.0,0.0,,0.0,0.0,0.0
up,CAV1,0.5300662587394156,0.07055356272844257,0.22823514592504154,0.13071391416088862,0.14464343453610917,0.017709026970859708,0.1358436606291707
up,MT1L,0.5296739576261548,,,,,,
up,FN1,0.5279889351212356,0.07978718086810878,0.21401403005464137,0.17661239197225292,0.22047202323231696,0.18290809444389602,0.3074356530028599
up,OSR2,0.5271120242176186,0.0,0.0,,0.0,0.0,0.0
up,KRT14,0.5255259044701605,0.0,0.08215414385525419,0.6397978585009506,0.028880524084546444,8.97578261242193e-91,0.1279282033082234
up,CD248,0.5249023964449424,0.0,0.0,,0.0,0.0,0.0
up,DPP4,0.5231038580649352,0.0,0.0,,0.0,0.0,0.0
up,PTGS2,0.5228960217498039,0.015920485203903167,0.09932102101858567,0.0441861883963936,0.05807382976311004,3.067969203828419e-05,0.05517159199237362
up,IGFBP3,0.5222106946115872,0.0,0.0,,0.0,0.0,0.0
up,PTGS1,0.5215768042864558,0.0,0.039377186012109766,0.04413253723005933,0.029476360164923054,3.023690875735513e-05,0.028122020972354587
up,MYBPC3,0.51389425586128,0.0,0.028694482020851887,0.11643454322949666,0.03218969548974915,0.018654515267343352,0.02472592945662535
up,CASP1,0.5126077433865684,0.021820278229746044,0.09985267334937142,0.11832592036228583,0.08887704283663389,0.00940641124966775,0.08984747378455675
up,APCDD1L,0.512194304022296,0.0,0.0,,0.0,0.0,0.0
up,INHBA,0.5074862356898279,0.03181126801003785,0.15674816948185138,0.11697125679497607,0.11862044314905162,0.009412898716350922,0.16897044804575803
up,COL12A1,0.5071871433907541,0.0,0.0,,0.0,0.0,0.0
up,TRPA1,0.5056045306330347,0.0,0.0,,0.0,0.0,0.0
up,MEDAG,0.5034744062485593,0.0,0.0,,0.0,0.0,0.0
