,logFC,betweenness,pagerank,closeness,katz,hits_authority,hits_hub,eigenvector,eigentrust,inf_score
AC119403.1,-1.62514102818778,,,,,,,,,2.6251410281877803
GRM4,-1.62496971867197,,,,,,,,,2.62496971867197
HES4,-1.6248087699590301,,,,,,,,,2.62480876995903
RP11-373A6.1,-1.62472975066063,,,,,,,,,2.62472975066063
AC004383.3,-1.62419561884386,,,,,,,,,2.62419561884386
RP11-886H22.1,-1.6239092043096202,,,,,,,,,2.62390920430962
RAB40AL,-1.62351073105238,,,,,,,,,2.62351073105238
CLCN1,-1.6231305941945202,,,,,,,,,2.62313059419452
FAM171B,-1.6228269153856298,,,,,,,,,2.62282691538563
HMGB3P15,-1.62256762030767,,,,,,,,,2.62256762030767
ACTG1P1,-1.62249778081765,,,,,,,,,2.6224977808176497
CACNA1G,-1.62201960177569,,,,,,,,,2.62201960177569
TSPAN11,-1.6220083646018002,,,,,,,,,2.6220083646018004
BSX,-1.62157392041882,,,,,,,,,2.62157392041882
RP11-54P19.1,-1.62072690795708,,,,,,,,,2.62072690795708
TTYH2,-1.6206043251073403,,,,,,,,,2.6206043251073403
RP11-349G13.1,-1.620141868003,,,,,,,,,2.620141868003
RP11-160N1.11,-1.61943842603988,,,,,,,,,2.61943842603988
ATP4B,-1.6191567486033,,,,,,,,,2.6191567486033
RP4-612B18.3,-1.61900066472994,,,,,,,,,2.61900066472994
ENO4,-1.61825975555625,,,,,,,,,2.6182597555562497
AC005730.2,-1.61825442923609,,,,,,,,,2.61825442923609
LZTS1,-1.61819565689336,,,,,,,,,2.61819565689336
TNP1,-1.6174793245955401,,,,,,,,,2.61747932459554
NME5,-1.61727682284623,,,,,,,,,2.6172768228462298
RP11-12A20.13,-1.6166725210716297,,,,,,,,,2.6166725210716297
MYO5B,-1.61646166197009,,,,,,,,,2.61646166197009
CCDC30,-1.61645847009851,,,,,,,,,2.61645847009851
NDUFA5P4,-1.6163881166198601,,,,,,,,,2.61638811661986
RP11-822E23.3,-1.61634643813492,,,,,,,,,2.61634643813492
RP11-639F1.3,-1.61596768863154,,,,,,,,,2.6159676886315397
RP11-163O19.16,-1.6153606081562901,,,,,,,,,2.61536060815629
SLC30A8,-1.61519618993521,,,,,,,,,2.61519618993521
TMPRSS11D,-1.61508251338215,,,,,,,,,2.6150825133821503
RP11-807E13.3,-1.6142687446263502,,,,,,,,,2.61426874462635
TDRKH,-1.6141338145013702,,,,,,,,,2.61413381450137
MTND2P21,-1.61401908546094,,,,,,,,,2.61401908546094
PQLC1P1,-1.61379127091674,,,,,,,,,2.6137912709167397
AC005758.1,-1.6134983321873602,,,,,,,,,2.61349833218736
PABPN1L,-1.6134098537108001,,,,,,,,,2.6134098537108
NEUROD1,-1.61319469309213,,,,,,,,,2.61319469309213
RP11-1280N14.3,-1.6130069581885702,,,,,,,,,2.61300695818857
RP11-347H15.2,-1.61244908403753,,,,,,,,,2.61244908403753
RP11-293B7.1,-1.6122910038493299,,,,,,,,,2.6122910038493297
AC126365.1,-1.6120909364973401,,,,,,,,,2.6120909364973404
AC083862.6,-1.61199235900193,,,,,,,,,2.6119923590019303
AC079781.8,-1.6119015711154,,,,,,,,,2.6119015711154
ALDH7A1P2,-1.611726279204,,,,,,,,,2.611726279204
COL22A1,-1.6114256043031001,,,,,,,,,2.6114256043031
AF165138.7,-1.61128656626692,,,,,,,,,2.6112865662669202
RP11-551L14.8,-1.6106469609113798,,,,,,,,,2.61064696091138
ENPP7,-1.6105625679599198,,,,,,,,,2.61056256795992
SIGLECL1,-1.6104654513974,,,,,,,,,2.6104654513974
OSTCP5,-1.6103217402773002,,,,,,,,,2.6103217402773002
RPL7AP65,-1.6101631547543,,,,,,,,,2.6101631547543
GAPDHP41,-1.60942918620626,,,,,,,,,2.6094291862062597
AC008074.5,-1.6093255633661,,,,,,,,,2.6093255633661
RPL21P134,-1.60929361943489,,,,,,,,,2.60929361943489
ITGB8,-1.60914872653332,,,,,,,,,2.60914872653332
CH17-39B16.1,-1.60912610466251,,,,,,,,,2.60912610466251
RPS21,-1.60899793379277,,,,,,,,,2.60899793379277
LHX8,-1.60875173023512,,,,,,,,,2.60875173023512
MAPRE1P1,-1.60812904291142,,,,,,,,,2.60812904291142
RP4-777G9.1,-1.6077843379293102,,,,,,,,,2.60778433792931
AC254944.1,-1.6073682658831798,,,,,,,,,2.6073682658831796
LTA,-1.6070499877337,,,,,,,,,2.6070499877337
RP11-98D18.7,-1.60702721993595,,,,,,,,,2.60702721993595
DUSP8P4,-1.60639203090197,,,,,,,,,2.60639203090197
CAMK1D,-1.60626648822697,,,,,,,,,2.6062664882269697
AC002429.4,-1.6060410658583701,,,,,,,,,2.60604106585837
CTB-161M19.2,-1.60601964340029,,,,,,,,,2.6060196434002902
RPL7P20,-1.60516340427845,,,,,,,,,2.60516340427845
NRBF2P4,-1.6050194959219097,,,,,,,,,2.6050194959219097
CDCP2,-1.60478956994861,,,,,,,,,2.6047895699486103
RP11-500K19.2,-1.6047131527677199,,,,,,,,,2.6047131527677196
RP11-1217F2.9,-1.6046736241909298,,,,,,,,,2.60467362419093
SLC6A15,-1.6045722748416298,,,,,,,,,2.6045722748416296
RP11-41L14.1,-1.60417620452611,,,,,,,,,2.60417620452611
PCDHB3,-1.60409836296544,,,,,,,,,2.60409836296544
ARHGAP42P1,-1.6039734329869597,,,,,,,,,2.60397343298696
N4BP2,-1.60387525949373,,,,,,,,,2.60387525949373
KIAA1107,-1.60379672886981,,,,,,,,,2.60379672886981
AC068287.1,-1.60335846543159,,,,,,,,,2.60335846543159
RP11-57B24.1,-1.6032866586521899,,,,,,,,,2.60328665865219
GNMT,-1.6032360275666002,,,,,,,,,2.6032360275666004
CD53,-1.6029861893923998,,,,,,,,,2.6029861893924
TCEA1P3,-1.6028825791481498,,,,,,,,,2.60288257914815
DENND1A,-1.6023183613321499,,,,,,,,,2.60231836133215
CTD-2555K7.3,-1.60226815861031,,,,,,,,,2.6022681586103102
ANKRD45,-1.60220818440947,,,,,,,,,2.60220818440947
RPS27P16,-1.60083407550227,,,,,,,,,2.60083407550227
CFL1P7,-1.60043113493339,,,,,,,,,2.60043113493339
RP11-159H3.1,-1.5991196997216999,,,,,,,,,2.5991196997217
DAP3P1,-1.59899898140457,,,,,,,,,2.59899898140457
