,,logFC,betweenness,pagerank,closeness,katz,eigenvector,eigentrust,inf_score
up,HSPB3,0.4322590367395004,0.0,0.047703649814320334,0.07580480190580847,0.028886641883864694,0.00033126676149506897,0.051835081029552,13.431379732392315
up,SLC17A9,0.4304833554028922,0.0,0.0,,0.0,0.0,0.0,4.524553337406257
up,EHD2,0.43046207344578724,0.0,0.0,,0.0,0.0,0.0,4.524379092822816
up,IGFBP4,0.43043974236128824,0.0,0.11258064457541153,1.0,0.02859452166738885,3.1141001626065514e-108,0.12270005776434548,112.36663255252088
up,HSPB7,0.42897840254082076,0.015920485203903163,0.07651688381450975,0.12200728009606725,0.05972008713892851,0.02996511924350462,0.06381077216396569,31.08438563322267
up,EMILIN1,0.4279156989032701,0.0,0.0,,0.0,0.0,0.0,4.503530823593647
up,PRRX2,0.4278925435139317,0.0,0.0,,0.0,0.0,0.0,4.503341240410587
up,POSTN,0.42668699741530147,0.0,0.0,,0.0,0.0,0.0,4.493470913318968
up,CTSZ,0.42623156265074225,0.0,0.0,,0.0,0.0,0.0,4.489742072007797
up,SMYD1,0.424649549095917,0.0,0.0,,0.0,0.0,0.0,4.4767894430977595
up,CLEC2B,0.4245490026161365,0.0,0.0,,0.0,0.0,0.0,4.475966225599505
up,THBS2,0.4237737402187267,0.0,0.0,,0.0,0.0,0.0,4.469618817190186
up,HGF,0.42315764612751494,0.016547837347887756,0.09307703887535883,0.13133135853972872,0.08960561206208384,0.042344852466746505,0.11362011439466159,52.58105628196769
up,ADAM33,0.4227354017035311,0.0,0.0,,0.0,0.0,0.0,4.4611174908713895
up,UBL4B,0.4203831033661791,0.0,0.04364832347596191,0.0832697827762122,0.02975963587170316,0.00038200653445642416,0.02448760724499524,11.213494064656889
up,CCL7,0.4202677603927638,0.0,0.04365578533073172,0.18954518162713901,0.029467355402644557,7.691527994545846e-56,0.06222462537830577,20.450123877015425
up,FMOD,0.4200837367149203,0.0,0.0,,0.0,0.0,0.0,4.439407163240849
up,SQRDL,0.4200377977251085,0.0,0.0,,0.0,0.0,0.0,4.4390310408708995
up,ADH1B,0.41915599482791543,0.0,0.0,,0.0,0.0,0.0,4.431811339330226
up,FBLN2,0.4187498837550063,0.0048777844663936525,0.07868047002447486,0.09061979266277188,0.059817980177098384,0.0017151092186102148,0.05058388941849368,18.51529750921043
up,GBP1,0.418746621616809,0.0,0.08259004550499253,0.09261317250433511,0.05809188679287569,0.0010188466620260886,0.0927073403241182,22.394636626173824
up,MT2A,0.4186852145144523,0.0,0.0,,0.0,0.0,0.0,4.427956857375984
up,IL15RA,0.41855221047103586,0.0,0.11258064457541153,1.0,0.02859452166738885,3.1141001626065514e-108,0.12270005776434548,109.94930585945214
up,WISP1,0.4181087896328942,0.0,0.0,,0.0,0.0,0.0,4.423237417670451
up,ADM,0.4179741903661546,0.0,0.0,,0.0,0.0,0.0,4.42213539528365
up,FAP,0.4166181119786868,0.0,0.0,,0.0,0.0,0.0,4.411032595265143
up,PSG1,0.4155215082982049,0.0002673215799162844,0.19520551542822312,0.729848393875713,0.11614658047300219,2.6075241878552124e-58,0.21214306922813347,202.8092894188329
up,MFAP5,0.4154981201913597,0.0,0.0,,0.0,0.0,0.0,4.401862738307034
up,MYOF,0.4153596036229763,0.0,0.0,,0.0,0.0,0.0,4.4007286432781445
up,CSPG4,0.4139171076222611,0.0,0.0,,0.0,0.0,0.0,4.388918304899887
up,TERT,0.4107460868794942,0.0,0.0,,0.0,0.0,0.0,4.362955787181999
up,MME,0.4103095227081941,0.0,0.0,,0.0,0.0,0.0,4.3593814475759824
up,MT1E,0.4102994771663532,0.0,0.0,,0.0,0.0,0.0,4.359299200382038
up,LRRC32,0.40950246439992666,0.0,0.0,,0.0,0.0,0.0,4.352773712298451
up,MMP2,0.4094841118893411,0.06375025633047982,0.12016722415466019,0.1081657452995236,0.12149928877167415,0.00727072575763102,0.14180171591992358,69.0431742321919
up,CLIC3,0.4088823498958092,0.0,0.03446784019658815,0.09122823643118143,0.02948591033043968,0.0003509167123166958,0.02442802669208772,10.990001233230211
up,MMP14,0.40862485323046593,4.950399628079341e-05,0.09300282993118787,0.06020542941087638,0.08962563920235977,0.0006649007879155559,0.10682793136320291,23.932164679994088
up,NT5E,0.4065597108990109,0.0,0.11258064457541153,1.0,0.02859452166738885,3.1141001626065514e-108,0.12270005776434548,107.51063401405052
up,NGF,0.40565359524155575,0.006248153896487311,0.06693898009452665,0.12018445784021133,0.05874914547664334,0.006827169076102159,0.05773355576739759,21.439177865434964
up,HOXA11,0.40538379109055567,0.0,0.0,,0.0,0.0,0.0,4.319052353328269
up,TMEM119,0.4048972492162306,0.0,0.0,,0.0,0.0,0.0,4.315068824661207
up,IFNWP19,0.4041570208738986,,,,,,,4.309008255206745
up,NLRP10,0.40351826360509413,0.0,0.0,,0.0,0.0,0.0,4.303778473299266
up,CTSK,0.4031867337806241,0.0,0.09347755020828034,0.013995083483772847,0.058648301624983024,1.0947555590266422e-08,0.07626310772164037,14.111796674491984
up,CCL26,0.402637211107604,0.0,0.0,,0.0,0.0,0.0,4.296564915605373
up,RTP4,0.40173781380553275,0.0,0.0,,0.0,0.0,0.0,4.289201161065543
up,SOD3,0.4001651135471799,0.0,0.08215414385525419,0.6397978585009506,0.028880524084546444,8.97578261242193e-91,0.14540685962565897,74.1994030535159
up,RP11-179A10.2,0.3997997763528358,,,,,,,4.2733336105872475
up,TMCO4,0.39836633293919843,0.0,0.0,,0.0,0.0,0.0,4.261597389653014
up,TMEM173,0.39728795585405696,0.022363978510914085,0.11822466010129334,0.13487283653328958,0.12138337832698642,0.02321442018831946,0.10730457578646337,54.40864200674113
up,MYPN,0.39515741302278373,0.0,0.0,,0.0,0.0,0.0,4.235324575015887
up,TGFBR2,0.39470373400619885,0.1805923027406728,0.24931845674958264,0.16077695734768083,0.27755723237575936,0.10717800774259297,0.2915872259294567,792.9951000915637
up,LUM,0.3944595646701452,0.0,0.030898816842098626,0.1017586446276064,0.03009204823705236,0.0032476786899400586,0.024130123927550023,11.296079800992628
up,DDR2,0.39396049470906513,0.0,0.0,,0.0,0.0,0.0,4.225524887329306
up,TMEM204,0.39387142813134024,0.0,0.0,,0.0,0.0,0.0,4.224795660752177
