"logFC"	"logCPM"	"PValue"
"AC000362.1"	1.52926309691524	-2.2373172212951	5.99089775568581e-52
"AC000367.1"	1.10329272978762	2.92393337213978	1.37688662583343e-55
"AC000374.1"	2.069614013973	-2.13230054363501	3.26174320890118e-99
"AC002056.3"	1.35474299357872	-1.79706299098519	1.91539071347573e-32
"AC002069.5"	-0.468921772376654	-1.75382958123297	4.556024647506e-51
"AC002069.6"	1.98524868587147	-2.12799925521761	5.13658576802614e-100
"AC002075.3"	0.651836642454549	-2.15826541718641	0.000138257433024742
"AC002075.4"	-1.56230467542606	-1.55081219454126	5.43917692576124e-106
"AC002127.2"	0.432461557396108	-2.29141323997155	1.02866130638411e-06
"AC002310.10"	1.9184439581054	-1.87232269125067	7.3299532455284e-92
"AC002310.11"	-1.02827373288	-0.820435556003292	8.12238806992608e-95
"AC002310.13"	0.191539752944948	-1.72737319652623	0.0107338165404131
"AC002310.17"	0.489933983503401	1.3431859357992	2.46224448332466e-15
"AC002314.4"	-0.0657913605522778	-2.27710486981267	0.00347330170452309
"AC002366.3"	-1.45536752878568	-1.87249249283503	1.70509463500402e-93
"AC002398.9"	-0.705726471956402	1.70367710322466	3.10450573187882e-44
"AC002400.1"	1.1281170555988	-1.1957537723372	3.63388073538146e-42
"AC002429.4"	1.60604106585837	-2.19751780695882	1.95263346333147e-67
"AC002429.5"	1.83026933389696	1.30124020644913	3.88216996425458e-142
"AC002486.2"	0.235204242283576	-2.1383629278001	2.51385356245403e-22
"AC002486.3"	2.45157665757209	-2.04873132722429	3.57138511792737e-165
"AC002519.6"	0.31279756072405	-2.11264156104418	0.790325835123006
"AC002523.1"	0.0815419207531669	-2.29736879142345	0.289776474378721
"AC002542.2"	2.01731969868982	-2.07383697881096	6.74984623148431e-88
"AC002543.2"	1.77127077208585	0.779351034823838	2.57580996003521e-184
"AC002553.4"	0.806843200574671	-1.8355370310896	0.0001219856496582
"AC002984.2"	0.615614396272376	-1.9036917038353	0.0313070268196381
"AC002985.3"	-0.885367216078308	-1.17425567883169	4.95326296885623e-41
"AC003002.4"	-0.294007856638877	-2.03986348363823	0.000828709401109985
"AC003002.6"	0.223424678238321	-0.879352723590258	0.0501988632004459
"AC003005.4"	-0.575288109531001	-2.02293387134238	2.77026812357259e-17
"AC003006.7"	1.23182907328589	-0.101180700853355	5.31426640510174e-69
"AC003045.1"	0.1369996848575	-2.28981725528516	0.13810101619157
"AC003080.4"	0.185103381373904	-1.58684962617547	0.00633926473346108
"AC003682.17"	1.36725555786962	-2.02381198747858	4.06919171441319e-35
"AC003958.1"	-0.0615340650136538	-2.27373070623412	0.00349994696397919
"AC003958.6"	0.167589771594988	-2.29543088373717	0.000536277818343208
"AC003973.1"	0.285325108714609	-2.24969504450889	0.431455661191697
"AC003989.3"	1.04541643140586	-1.89749156418459	1.30428887170032e-05
"AC003989.4"	0.333676190819415	-1.77636293303633	0.580792917183248
"AC004004.2"	-0.08358843942407	-2.28793750016185	1.78284940232295e-05
"AC004006.2"	1.2388485042907	-2.2559093216144	9.65248245729718e-50
"AC004019.10"	3.51986441856706	-0.0498944020432381	0
"AC004022.7"	0.20926117741124	-2.29510748092408	0.00428398777879269
"AC004022.8"	0.531499738470407	-2.26346316968173	2.93106211481376e-05
"AC004057.1"	-0.58667540671454	5.67448559845319	1.11813677104013e-25
"AC004062.2"	0.22728229033914	-2.27527375544044	0.307775560487805
"AC004066.2"	0.720656540822754	-2.25234787149406	2.84325733015004e-13
"AC004069.1"	0.319547740214585	-2.26182752032917	0.0657713593876744
"AC004074.4"	0.162901537688961	-2.28686918856086	0.0118603859833441
"AC004076.7"	0.284575393742439	0.230279868910924	0.00658186038426357
"AC004076.9"	1.09453066230186	-0.633220372422182	7.50550380220285e-49
"AC004129.7"	-1.1755166224826	-2.21348950569325	3.56128885771413e-34
"AC004129.9"	-0.640634677797789	-1.99295583452797	4.11661550378221e-16
"AC004158.1"	1.48120648800599	-1.51184515322131	1.59865182627569e-62
"AC004159.1"	3.0836386366282	-1.86061816867453	9.51707541032991e-241
"AC004231.7"	-7.11552201511169	2.23006204532498	0
"AC004381.6"	-0.0362583600167116	3.05475982513398	0.468917296945385
"AC004381.8"	0.869279831810583	-1.74168188129552	1.67320542785983e-17
"AC004383.3"	1.62419561884386	-1.64130075622093	4.72175911655973e-77
"AC004386.3"	0.0281888569101744	-2.30069328030973	0.999999999999996
"AC004386.4"	-0.391066640315724	0.473062846026833	1.84076958677095e-12
"AC004453.8"	0.641416612684406	-0.442389583334892	1.39416129691256e-24
"AC004461.4"	0.193429121437814	-2.00128257810437	0.0081872499971954
"AC004556.1"	-2.46746055890603	2.64041412282408	0
