,betweenness,pagerank,closeness,katz,hits_authority,hits_hub,eigenvector
RBM20,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
MGAM2,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
CCL23,0.0,0.000852007073968548,0.4444444444444444,0.022464125957702644,1.1049843199552515e-24,1.104984319955251e-24,1.5471774114630472e-23
SERPINA3,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
FCN3,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
RP11-505K9.4,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
FABP3,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
HK3,0.0,0.0010905747598013535,0.6666666666666666,0.02246408056196628,5.542727569222744e-32,5.542727569222745e-32,1.9026486352469778e-30
KLHL38,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
SLAMF1,0.0,0.0009935641879699512,0.5,0.02246410303056299,8.752494930615323e-30,8.752494930615321e-30,2.2952058591413395e-28
HTR4,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
RBMX,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
CCR2,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
SOX18,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
HBG1,1.1948107662631578e-05,0.001119724087319889,0.13214505224339274,0.022950696314366307,1.454462216395086e-05,1.4544622163950859e-05,1.4545525090862215e-05
CD36,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
TYRP1,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
FGA,2.003003503753879e-06,0.002006251154873679,0.8,0.022917992533767917,4.3129907669907296e-24,4.312990766990729e-24,6.038968153425277e-23
ALB,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
PECAM1,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
AC104389.1,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
CASQ1,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
EIF4A2,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
TUBA8,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
FXYD6-FXYD2,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
KCNQ1,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
GZMK,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
GJA4,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
CPNE5,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
CD53,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
CD2,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
HLF,0.0,0.0014158289678566094,1.0,0.022461833929246843,5.285956925604576e-38,5.285956925604577e-38,3.629014273160892e-36
MYL1,0.0002232514321892344,0.0019011933708949938,0.1725521669341894,0.02318037487996644,3.6783746588727395e-07,3.6783746588727395e-07,3.969836132771766e-07
LRRC10,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
PGR,0.0,0.0007389335165663548,0.08715038508309687,0.022470938073888825,4.6372628692317074e-14,4.6372628692317074e-14,1.0078306652804452e-13
CLDN5,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
HBG2,1.1948107662631578e-05,0.001119724087319889,0.13214505224339274,0.022950696314366307,1.454462216395086e-05,1.4544622163950859e-05,1.4545525090862215e-05
SORBS1,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
ALOX5AP,0.0,0.0009935641879699508,0.5,0.02246410303056299,8.752494930615323e-30,8.752494930615321e-30,2.2952058591413395e-28
APOA1,1.5022526278154092e-06,0.0015050181849503486,0.6666666666666666,0.022691036774868154,2.4467937728280735e-24,2.446793772828073e-24,3.4259581549625177e-23
FXYD2,1.669169586461566e-07,0.0010301170909695493,0.12038073908174692,0.022695856849210164,4.384605702463483e-09,4.384605702463482e-09,6.054878714728506e-09
MUC22,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
LYZ,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
HFE2,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
CCR5,2.503754379692349e-07,0.0014158289678566091,0.75,0.0226910363162794,5.811971103625308e-26,5.811971103625309e-26,9.975358476763675e-25
DHRS9,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
FCGR2B,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
BMX,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
DEFA3,0.0,0.0014158289678566091,1.0,0.0226910363162794,5.811971103625308e-26,5.811971103625309e-26,9.975358476763675e-25
AMPD1,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
MYH2,0.00016055632808453666,0.0009351282234507469,0.15785609397944197,0.02272371436821432,1.0414259543987476e-06,1.0414259543987476e-06,1.0572211587414373e-06
KRT13,0.0,0.0010905747598013535,0.6666666666666666,0.02246408056196628,5.542727569222744e-32,5.542727569222745e-32,1.9026486352469778e-30
ALDH3B2,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
KCNJ4,0.0,0.0008705338301977702,0.5,0.0224708456328392,1.2013707835322958e-23,1.2013707835322958e-23,1.57520414648826e-22
MMRN1,0.0,0.0009328759881425857,0.3571428571428571,0.022464103480024703,4.0886670336859e-27,4.0886670336858986e-27,7.758435592581862e-26
ACTC1,0.0012225589947784362,0.0036037241558196627,0.17724649629018963,0.024327295340759107,1.9474849767914627e-07,1.9474849767914625e-07,2.582716342015559e-07
GPD1,1.752628065784644e-05,0.002006843079514284,0.46153846153846156,0.022924783305547147,2.6534006864172953e-19,2.653400686417295e-19,2.073071288748048e-18
GATA4,0.00042413599191988387,0.0019166885813223947,0.11393746687864335,0.022922580738593577,2.015129456346156e-11,2.0151294563461562e-11,3.893115042906155e-11
GRXCR2,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
SORBS2,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
C2ORF71,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
