,logFC,betweenness,pagerank,closeness,katz,hits_authority,hits_hub,eigenvector,eigentrust,inf_score
RECK,-3.2118750979996697,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.305152640515209
CGB8,-3.21127917252857,0.0,0.0011932462263587948,1.0,0.022185256557473998,3.3520905268548613e-37,3.3520905268548596e-37,1.855931868470039e-34,0.0005,8.623997958785425
RPSAP53,-3.21058814966206,,,,,,,,,4.21058814966206
DGKK,-3.21004829241796,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.303285377908695
CD72,-3.2094640385597795,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.30268818497639
AC007192.4,-3.2094169355020696,,,,,,,,,4.20941693550207
TRIP13,-3.20569616316504,0.0004195708958458941,0.0009314182897117363,0.23700054734537493,0.022969191878972943,0.0002203098192200733,0.00022030981922007328,0.00022031385681185847,0.00033616349390768255,5.33445208813217
C14ORF39,-3.20531902252802,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.298451372084529
RPS2P55,-3.20526312976246,,,,,,,,,4.20526312976246
AP001258.5,-3.20491871761211,,,,,,,,,4.2049187176121094
PKMYT1,-3.20457930704014,0.0003548311275308414,0.001995304027624883,0.26629766297662977,0.02478783418699069,0.0018983037627566285,0.0018983037627566279,0.0018983231947603727,0.0009928076406611147,5.505718014200096
TPH1,-3.2037857384984303,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.296884131452968
HSPA8P18,-3.2006571145894402,,,,,,,,,4.20065711458944
RAI14,-3.20033101673248,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.293352900306064
TRAM2,-3.1997745059198,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.29278406482568
RAC1P4,-3.19824762159002,,,,,,,,,4.198247621590021
SULF1,-3.19671714301623,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.289658992578508
ADM,-3.1958144454809703,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.288736303612884
ADGRV1,-3.1941586890404903,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.2870438782569735
KIAA1644,-3.19409497893178,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.286978757203675
SOX14,-3.1930488811343505,0.0,0.0006228047309267744,0.4666666666666667,0.02219422526206,5.198815760629147e-26,5.198815760629146e-26,3.7755335039528326e-24,0.0002033732583720341,6.291489578669704
RP11-320A16.1,-3.1912008099335702,,,,,,,,,4.19120080993357
JPH3,-3.19015331971313,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.282949804730407
UHRF1,-3.18964301239429,0.0005026820430367912,0.001275233668791447,0.23443421765024364,0.025513172760274955,0.0807097789122255,0.08070977891222549,0.08070978061158206,0.0011064184511021345,6.713754181710271
MYOF,-3.18864190022139,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.281404912855792
ACTG1P15,-3.18808584710129,,,,,,,,,4.18808584710129
COL7A1,-3.18771683546129,0.0,0.0006171023980872936,0.11630405586892291,0.022187544164567773,2.0686660723865366e-11,2.0686660723865362e-11,2.0696294318452742e-11,4.8365402969624115e-05,4.78166692160178
UBASH3B,-3.18714593509704,0.0,0.00043426782577345754,0.21868686868686868,0.022227806277624964,3.6097241745769165e-05,3.6097241745769165e-05,3.609764525166317e-05,6.512569112741433e-05,5.219414544458377
RPSAP8,-3.1863655390235097,,,,,,,,,4.18636553902351
RP11-298C3.2,-3.18354356807073,,,,,,,,,4.18354356807073
RP11-439L8.2,-3.18276102367199,,,,,,,,,4.18276102367199
GAPDHP1,-3.1822613328708194,,,,,,,,,4.182261332870819
FOXA2,-3.1810297925459903,0.0,0.0003219412300880911,0.14525327071452532,0.022216381927415537,6.364888835022985e-07,6.364888835022983e-07,6.365589693057978e-07,5.0759729849308004e-05,4.896551287735997
KRTAP2-4,-3.17990921924294,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.272478835111701
CHAC1,-3.17950975776889,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.272070527035185
MYBL2,-3.17922663825962,7.966491208112019e-07,0.0006402680395780537,0.2128810226155359,0.022681142529360283,0.00039877566518904445,0.00039877566518904445,0.00039877917278942837,0.000160300184594867,5.194237008956187
RP11-297L17.6,-3.1780362420983397,,,,,,,,,4.17803624209834
RP11-420J11.1,-3.17611710705184,,,,,,,,,4.17611710705184
HTR1A,-3.17605673846123,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.26854103604976
SYT14,-3.1749624935102005,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.267422557597602
OR5E1P,-3.1746681451,,,,,,,,,4.1746681451
PMPCAP1,-3.1740285793017406,,,,,,,,,4.174028579301741
ZNF679,-3.1730998555883394,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.26551866909639
RPL10P1,-3.17285694004435,,,,,,,,,4.172856940044349
PLK1,-3.16981104566787,0.00417918155318657,0.0035837021791429355,0.2658072437077962,0.025845274100655357,0.0010997800379579838,0.0010997800379579836,0.001099791407657382,0.0011899804592031208,5.481245131581121
FOXL1,-3.16534212752923,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.257589135893012
TRIM46,-3.16527256395014,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.257518031736493
EEF1A1P9,-3.1625794409964003,,,,,,,,,4.1625794409964
OLIG3,-3.16207886318715,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0,0.0,4.2542536022477515
HSPD1P1,-3.15829014237725,,,,,,,,,4.1582901423772505
