,logFC,betweenness,pagerank,closeness,katz,hits_authority,hits_hub,eigenvector,eigentrust,inf_score
KRT8P3,1.84497961583023,,,,,,,,,2.84497961583023
AC009237.8,1.8438807350203401,,,,,,,,,2.84388073502034
MYL12B,1.8438638437150499,,,,,,,,,2.8438638437150496
PPP6R1,1.84380565110279,,,,,,,,,2.84380565110279
ABCA6,1.8437003468759798,,,,,,,,,2.8437003468759796
NIPAL4,1.84362248715001,,,,,,,,,2.84362248715001
RP11-44N12.4,1.8434706935301899,,,,,,,,,2.8434706935301897
CCDC86,1.84318751240051,,,,,,,,,2.84318751240051
WDR46,1.84227803853547,,,,,,,,,2.8422780385354702
PRG2,1.8422427946493602,,,,,,,,,2.8422427946493602
SERINC3,1.84216970401719,,,,,,,,,2.84216970401719
CCR1,1.84107776779598,,,,,,,,,2.84107776779598
AP2S1,1.84056858418044,,,,,,,,,2.8405685841804402
LRP5,1.8402001189616,,,,,,,,,2.8402001189616
BLOC1S5-TXNDC5,1.8401509217403897,,,,,,,,,2.8401509217403897
DLST,1.83899463619261,,,,,,,,,2.83899463619261
XXBAC-B562F10.12,1.83874098833538,,,,,,,,,2.8387409883353802
ARHGAP1,1.83849512038991,,,,,,,,,2.83849512038991
MOGS,1.83829264487834,,,,,,,,,2.83829264487834
IGKV1-27,1.83800530936771,,,,,,,,,2.83800530936771
NFATC1,1.83789275031431,,,,,,,,,2.8378927503143103
PTPRK,1.83758601387204,,,,,,,,,2.83758601387204
DIAPH2,1.8369845082069298,,,,,,,,,2.83698450820693
PLEKHM2,1.8358971079726598,,,,,,,,,2.83589710797266
SEMA3F,1.8358267613695702,,,,,,,,,2.83582676136957
CGB3,1.83502917279179,,,,,,,,,2.8350291727917902
OVCA2,1.8338941076031297,,,,,,,,,2.83389410760313
RPL21,1.8332417031561201,,,,,,,,,2.83324170315612
TPRG1L,1.83190906569295,,,,,,,,,2.83190906569295
COLGALT1,1.83184005357048,,,,,,,,,2.83184005357048
RRP9,1.8311746021943,,,,,,,,,2.8311746021943
PRDM6,1.83112231834549,,,,,,,,,2.83112231834549
MAP3K3,1.8305433995727598,,,,,,,,,2.83054339957276
TAF13,1.82963013571726,,,,,,,,,2.82963013571726
HMG20B,1.8295942334858302,,,,,,,,,2.82959423348583
CMTM6,1.8295497246847001,,,,,,,,,2.8295497246847
UTRN,1.8290974074313402,,,,,,,,,2.82909740743134
RASSF8,1.8289660141893,,,,,,,,,2.8289660141893
