,betweenness,pagerank,closeness,katz,hits_authority,hits_hub,eigenvector
ARID3A,0.0,0.0011932462263587946,1.0,0.022185256557473998,3.3520905268548605e-37,3.3520905268548605e-37,1.8559318684700406e-34
KRT18,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
CCDC169-SOHLH2,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
CENPO,4.280035520716076e-06,0.0011242744359870273,0.17396544797107272,0.02312223140855088,3.732160136994905e-06,3.732160136994905e-06,3.7323323009032523e-06
ENPP1,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
EFEMP1,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
KIF3C,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
RTBDN,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
LCTL,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
PDGFC,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
PRC1,0.0004826217625432332,0.0011171119219447715,0.245048104131296,0.02296208166828788,0.0007814414189310739,0.0007814414189310737,0.0007814454584840559
GULP1,0.0,0.0011932462263587946,1.0,0.022185256557473998,3.3520905268548605e-37,3.3520905268548605e-37,1.8559318684700406e-34
ICAM5,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
FBLN7,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
LGALS1,0.0008694871646682979,0.0011024844871176357,0.20978682170542634,0.022643836515226362,3.466237920810846e-05,3.4662379208108444e-05,3.466264631453678e-05
LRTM2,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
C10ORF107,0.0,0.00017898693395382819,,0.021963403991899257,0.0,0.0,0.0
TGFB1,0.0027541298176615835,0.0015059868034057798,0.14035656401944893,0.02287609010500774,1.744722481184165e-09,1.7447224811841645e-09,1.7451350649338029e-09
