,logFC,betweenness,pagerank,closeness,katz,eigenvector,eigentrust
SP8,-8.06552926719725,0.0008103639137825811,0.0007287801517627098,0.29120091716824303,0.023947807281745215,0.00025609748330240504,0.0001681308581905562
LIN28A,-8.05584689129757,0.0007291865111445245,0.0009528638235882698,0.27028465017291836,0.02383084449437491,0.000318435959455948,0.00030034805007374173
WNT3A,-8.05365426432186,0.003246000676975679,0.0031094327480531967,0.31494110353378796,0.03457737838862545,0.001056692355301484,0.0019237830168470456
FAM69C,-8.05071484195478,0.0,0.00012196113505163014,,0.02090359078246241,0.0,0.0
GRIK3,-8.03590426447106,0.00036004515086929175,0.0011496078672840213,0.283008356545961,0.02542488785517232,2.1563017600045756e-05,0.000524293778194225
CXXC4,-8.033855517917921,0.0,0.00019793496623731654,0.21732620320855614,0.02115792890725726,7.938976442862256e-06,4.25474008482224e-05
PTPRT,-8.00282570857282,0.0006880681619660319,0.0012004453262135666,0.2845141416970037,0.024361302697878777,1.66412843320325e-05,0.0007276520542913739
OLFM3,-7.9689717113571,0.00012938467144464434,0.0005617066126645025,0.24411340701585776,0.022061268143606812,4.2617818586350075e-06,0.00029554431126829783
RAB3C,-7.95514848595737,0.0028135422204453074,0.0019491667065612195,0.27714129841789414,0.025750530235698534,1.3160411720160253e-05,0.0006176235607000032
VSX2,-7.9515198318746,0.00011190097094803228,0.0004135554270268837,0.27078891257995735,0.02257193643999261,0.00018483399969967395,0.00020541702129948217
CNR1,-7.943522695553651,0.0014326031104796417,0.0016184110490079842,0.29629629629629634,0.02808715177132661,3.9245582466413556e-05,0.00042112776861063204
ZIC3,-7.93866009458485,0.0020695142806317532,0.001258906887662875,0.2883087400681044,0.025317467765437047,0.000401617877976636,0.00031453051702314927
CUX2,-7.91371177660863,0.001146815910136181,0.0006297900038840378,0.2755627881746678,0.023394806933610596,0.0025263269752157794,0.0001727058475290743
ST8SIA3,-7.9115679115976505,0.0,0.00020610274009709713,0.23760523854069224,0.021183865228938264,1.836828392187629e-06,8.669604796492637e-05
TRIM48,-7.890643396217509,0.0,0.00012196113505163014,,0.02090359078246241,0.0,0.0
SLIT1,-7.88375595988955,0.0007058445867571401,0.000997583949359414,0.2543178973717146,0.02335187116302689,5.1241092852338365e-06,0.0003412942046534833
SMR3B,-7.852185319153019,0.0,0.00012196113505163014,,0.02090359078246241,0.0,0.0
POU3F2,-7.85165411104985,0.0018449077947909536,0.00210580959910451,0.2943221320973349,0.02953157591416309,0.0006907229703241663,0.0014386053974971525
LMX1A,-7.844874466118081,0.0011822353021970309,0.0017826954407563892,0.29794721407624636,0.029277709264333904,0.0010778009805810838,0.0009177428613068183
LY6H,-7.8385883979723,0.0,0.0001872251925627528,0.23372440763745111,0.02118871008695232,1.1844846430008224e-06,6.107610766922253e-05
MSI1,-7.833644636687371,0.001038818572605731,0.00075464239699741,0.22024712768263602,0.02177483983405362,1.9798084171763387e-06,0.00019558079422166808
CHST5,-7.8319876928399506,0.0,0.00012196113505163014,,0.02090359078246241,0.0,0.0
TRDC,-7.82240653187082,,,,,,
GPC3,-7.818468470074509,0.0018361527001150733,0.0013459516723122106,0.2665966937811598,0.024929084850288465,0.00021667998255720455,0.0006889933943808919
EPHA7,-7.80833090988437,0.0005355155582420697,0.0010108048113483933,0.23649906890130354,0.022977278994039195,3.125610972199019e-06,0.000539619992478262
CTNND2,-7.730820236458451,0.002543524933293697,0.0016391594560917937,0.2884724588302101,0.025127754002858396,2.612541325690709e-05,0.0004922688528245949
KIF5C,-7.6562661681655095,0.0020298525896935457,0.001698011171438404,0.2877371849334466,0.025885298061639982,3.7939906295976265e-05,0.0007470957589800778
LHFPL3,-7.643315090171041,0.0,0.0002245574324022264,0.20961419434701878,0.021135850299760228,9.122526097943812e-07,6.061860873537064e-05
FGFBP3,-7.62371524323997,0.0,0.00012196113505163014,,0.02090359078246241,0.0,0.0
NMU,-7.6108377773336695,0.0,0.00018362019815999032,0.21548250265111346,0.02116962803012256,8.793523933159713e-07,8.669604796492642e-05
DGKK,-7.6075250869734,0.0,0.00012196113505163014,,0.02090359078246241,0.0,0.0
PI15,-7.57685274152399,0.0,0.00012196113505163014,,0.02090359078246241,0.0,0.0
BCO1,-7.568985704853411,0.0,0.0008130742336775345,1.0,0.021114738164103447,1.3491425815064835e-75,0.0005
NRXN1,-7.56004145985898,0.004424026063804856,0.0024396390691977235,0.28214384893085254,0.02648986977785448,1.3735037476138463e-05,0.0011211011374039688
MYO3A,-7.554991341754549,0.0012488499456273286,0.0010278938268651395,0.2803532008830022,0.023338209113120043,2.5475452434303034e-05,0.0005661549306416692
COL2A1,-7.551216836021559,0.00305640374325868,0.0013560752682258278,0.2687119809574187,0.02361941617064079,8.363466029572353e-05,0.0004387414775639282
RNASEH1P1,-7.545524916359321,,,,,,
PROM1,-7.54253226716018,0.0012284188686908413,0.0006464479986594518,0.2497541789577188,0.022130285715506726,5.391142712936796e-05,9.081353836959296e-05
ERBB4,-7.53747620740222,0.006152679840856187,0.0021833733515837775,0.32679318108716626,0.027922665390318176,0.0002750935166436447,0.0012514883335517464
CNTFR,-7.5173809959727,0.0,0.00012196113505163014,,0.02090359078246241,0.0,0.0
SLC35F1,-7.517115827488411,0.0006926142352270231,0.0008013894316278867,0.21140241364960466,0.021777460711469184,1.8248653179931006e-07,4.73511396536669e-05
SMTNL2,-7.51591244138802,1.1393036471306504e-05,0.0003273083601439441,0.21746575342465752,0.021361896213644208,4.846377163923024e-07,5.855986353303733e-05
SLC6A1,-7.51204332580802,0.0006772505081780047,0.0008611174296720721,0.2547004261719729,0.023429898290766464,6.4165056131738605e-06,0.00016973210445903793
CPVL,-7.51098213091701,0.0,0.0002883107721195511,0.17937853107344634,0.021121607651595323,1.17099645725892e-08,1.1437473346296357e-05
NELL1,-7.489867969710731,0.0,0.0001875291418947841,0.2326007326007326,0.021211402095031175,1.912116397802456e-05,1.7842458420222307e-05
CPLX2,-7.48594176984264,0.0,0.00023422940176777432,0.19022654933533048,0.02113323683360972,8.176788481607758e-08,6.153360660307443e-05
PCDH17,-7.47538084272602,0.0,0.00012196113505163014,,0.02090359078246241,0.0,0.0
EN2,-7.4565141942564,4.0500200331107245e-06,0.0004117816349831655,0.2533665835411471,0.022387292640045506,0.00012047880081579376,0.00015966712791429689
CD24P4,-7.438645622478,,,,,,
SFRP5,-7.43704871881311,4.0367845697588315e-05,0.0007730939716338594,0.2632124352331606,0.02408440456074675,0.00023005396796496532,0.0006427860020618546
NKAIN3,-7.4319718970411905,0.0,0.00012196113505163014,,0.02090359078246241,0.0,0.0
KCNIP1,-7.4276618847747695,0.0021954927711854977,0.0015128824043078204,0.25591939546599496,0.023474480519331445,4.783029043337859e-06,0.00044331646690244674
MPPED1,-7.426906487716651,0.0,0.0008130742336775345,1.0,0.021114738164103447,1.3491425815064835e-75,0.0005
FOXN4,-7.422427805372809,9.164304465618946e-05,0.0005366468990491499,0.25964732941477126,0.022677373643269085,0.00013693099539836408,0.00014113842109329675
NPY2R,-7.40960943322826,8.81148012364696e-05,0.0008192464870395793,0.2408724513987672,0.024355096047415287,1.3959487359459993e-05,0.0002561994029570386
ZBBX,-7.404613019015289,0.0,0.00012196113505163014,,0.02090359078246241,0.0,0.0
CFAP47,-7.40248551653116,0.0,0.00012196113505163014,,0.02090359078246241,0.0,0.0
PPP1R1A,-7.393427215133589,0.0,0.00012196113505163014,,0.02090359078246241,0.0,0.0
OPN5,-7.3925570250937,1.493092550816535e-07,0.0003415343474987328,0.21972318339100347,0.02213959282678036,6.068192607659249e-06,0.00015097464817111203
MYT1,-7.387123934739799,0.0,0.00012196113505163014,,0.02090359078246241,0.0,0.0
TNN,-7.3711923739394605,2.1550414637015456e-05,0.0003741653638990968,0.19851504493942948,0.021344225961358706,1.4700608626247432e-07,7.914731555637075e-05
XKR7,-7.3678363205155994,0.0,0.00012196113505163014,,0.02090359078246241,0.0,0.0
MPZL2,-7.360353046456799,0.0,0.00012196113505163014,,0.02090359078246241,0.0,0.0
UBTFL9,-7.336976592173259,,,,,,
ADGRV1,-7.33059023560878,0.0,0.00012196113505163014,,0.02090359078246241,0.0,0.0
GLDC,-7.3153338576522895,9.424022865965313e-05,0.0005022157323846654,0.18919925512104283,0.021339406704815298,3.110963426445755e-07,2.401869402722235e-05
DIO3,-7.30679673711666,0.0,0.00012196113505163014,,0.02090359078246241,0.0,0.0
NKX2-2,-7.30168134308688,0.002179172301049032,0.002480093955021317,0.30648567119155357,0.03217828849748432,0.001431967417562601,0.0009056191395597435
FZD10,-7.29641033719906,0.00019097732377283984,0.0008549682876347192,0.27759562841530055,0.024344735967530784,0.00021762206064858107,0.0006974571246571512
HNF1B,-7.28550624216396,1.1150048884183327e-05,0.0004995844396760188,0.25826131164209454,0.02257432164065536,0.00021938406509809213,0.0001777383358014451
KCNH8,-7.2769070439423205,0.0,0.00012196113505163014,,0.02090359078246241,0.0,0.0
ZIC5,-7.26434654004306,0.00011462982924592124,0.0006673039097401497,0.2779753761969904,0.023765816811240202,0.00027031898497604427,0.00018116957780533397
CADM2,-7.26177847268386,0.0,0.0004064916214674488,0.19500959692898273,0.021340446351927757,1.5590828676018282e-07,0.00018848956074696385
RPRML,-7.25230359232142,0.0,0.00012196113505163014,,0.02090359078246241,0.0,0.0
ADGRB3,-7.236827034529821,0.0,0.00012196113505163014,,0.02090359078246241,0.0,0.0
DCAF12L1,-7.21337742604527,0.0005082621390775468,0.0006939065868583736,0.1611419508326725,0.021330243033562506,4.2187249972794745e-09,0.00014090967162637153
RP11-364B14.3,-7.21030126482046,,,,,,
PHF21B,-7.209231493832211,0.00020408298961263139,0.00038665452924200347,0.20271348762968877,0.021343026447046866,4.068992054208041e-06,8.532355116336988e-05
KCNH7,-7.20291394143386,0.0,0.0008130742336775345,1.0,0.021114738164103447,1.3491425815064835e-75,0.0005
SLAIN1,-7.19311597284207,0.0,0.00012196113505163014,,0.02090359078246241,0.0,0.0
LRRC31,-7.18227170837272,0.0,0.00012196113505163014,,0.02090359078246241,0.0,0.0
COBL,-7.175114421428891,0.0,0.00012196113505163014,,0.02090359078246241,0.0,0.0
IRS4,-7.17432890332092,0.0,0.0002938285615412677,0.24294595887135342,0.02140835075042394,4.091274519778954e-06,0.00012306721320614873
S100B,-7.160277439914321,0.0009007429192706568,0.0009397852006812654,0.2716577540106952,0.02313578432855205,1.0638812298663023e-05,0.000686705899711633
ACTL6B,-7.1388631445727,0.000910493436937644,0.0012456016755467278,0.2781275663837941,0.024503987751144516,1.001306865120469e-05,0.0003300854807741127
HLA-DRB5,-7.1368324325768695,0.00025438144497674266,0.0008655244469985366,0.19851504493942948,0.021768933441786265,3.1237083125053554e-07,0.0004922688528245963
TFF3,-7.110122833335461,0.0,0.00012196113505163014,,0.02090359078246241,0.0,0.0
SLCO1C1,-7.10851388089365,0.0,0.00012196113505163014,,0.02090359078246241,0.0,0.0
RP11-368J22.2,-7.10154608579686,,,,,,
PRR36,-7.09133632524116,0.0,0.00012196113505163014,,0.02090359078246241,0.0,0.0
FREM2,-7.071852477663731,0.0003501177210077965,0.000529213235182812,0.25489212242849973,0.021869621753921334,8.488652339536426e-06,0.0001836858219415194
WNT7A,-7.07016169345353,0.0006309391481675229,0.001564256719855238,0.29078420148826556,0.027322096662949866,0.000364328755949559,0.0009811064636453004
PLPPR1,-7.05831008365612,0.0,0.00012196113505163014,,0.02090359078246241,0.0,0.0
LRRTM3,-7.046711883569161,0.0,0.0002927438949722921,0.21100726895119418,0.02138459716364903,3.4941837937352926e-07,3.2482424303481644e-05
SPSB4,-7.030617996110361,0.0,0.00033088821997400656,0.18445896877269427,0.021117221929380633,3.420456789639225e-08,7.823231768866705e-05
GPR85,-7.0296488121853695,2.147349991704797e-05,0.00035436086242336456,0.2402459210215181,0.02169196957427791,2.8152276991334818e-05,4.803738805444463e-05
TMEM196,-7.02900371815755,0.0,0.00012196113505163014,,0.02090359078246241,0.0,0.0
STMN4,-7.026411131022719,0.0002307838998669196,0.0007347523775437943,0.27789934354485774,0.023093602118025258,1.2426907740809038e-05,0.0004664201630619653
DPP10,-7.02154418785323,0.0,0.00023886571260924974,0.2038114343029087,0.021138335587655186,1.3703959617875053e-07,1.3267469081703773e-05
RGS8,-7.00137541637276,0.001185491512540255,0.0009079212221500683,0.2858750703432752,0.023370635569588332,2.0795557598452084e-05,0.00024384693174303815
POMC,-6.9984986017504,0.0,0.0001971007896586988,0.1858423266873971,0.021135304146111332,2.4683657116469286e-07,7.685982088711157e-05
SLITRK2,-6.979455216057151,1.2374449157690178e-05,0.000431391475887842,0.25311410064773293,0.021949070427093226,5.927162627762121e-06,0.00045864268118648373
INSM1,-6.97702067992578,2.2556548699975605e-05,0.0003162320147877938,0.22217362781543845,0.021362911273288866,9.139984135011633e-06,0.0001290146993462227
PRODH2,-6.96401663132542,0.0005082621390775468,0.0005669924255327563,0.19545979222777993,0.02134174506220162,1.103272298209154e-07,7.754606928788932e-05
CHODL,-6.95891829058069,0.0,0.00012196113505163014,,0.02090359078246241,0.0,0.0
RP11-216N14.5,-6.94811719230317,,,,,,
GLT1D1,-6.94227624764503,0.0,0.00012196113505163014,,0.02090359078246241,0.0,0.0
NPY5R,-6.940797067281929,6.812808618353354e-06,0.0007261775133796633,0.2403027436140019,0.024131954617734916,1.3871509087983574e-05,0.0002436181822761126
RP11-432M8.2,-6.93321757652413,,,,,,
