,Unnamed: 0.1,id_folder,dict_additive_factor,dict_multiplication_factor,average_statistic,average_p_value,mean_synergy,mean_not_synergy,dif_mean,description
31,31,31,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'eigenvector': 1, 'eigentrust': 1}","{'logFC': 5.550959491092071, 'betweenness': 4.5538805163119935, 'pagerank': 1.1937232474677817, 'closeness': 9.669362755966405, 'katz': 2.215712422420582, 'eigenvector': 2.136965674956736, 'eigentrust': 2.5656010001241794}",0.1353364275061292,0.0,0.7991083898900616,0.8144781498168739,0.015369759926812332,bayes_7_metrics_alpha_00001
32,32,32,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'eigenvector': 1, 'eigentrust': 1}","{'logFC': 2.178971603298252, 'betweenness': 9.531731900959128, 'pagerank': 8.285416229139239, 'closeness': 8.444039240536593, 'katz': 3.988572169301533, 'eigenvector': 2.5857663001754974, 'eigentrust': 1.1351708266791014}",0.1314977048845716,0.0,0.7483982406000089,0.7774744626735812,0.0290762220735723,bayes_7_metrics_alpha_00001
33,33,33,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'eigenvector': 1, 'eigentrust': 1}","{'logFC': 9.148530868377843, 'betweenness': 4.102629874149641, 'pagerank': 5.138922392351263, 'closeness': 9.460967341000304, 'katz': 8.602610008529997, 'eigenvector': 8.909487859706598, 'eigentrust': 6.238127619523721}",0.13241853441977303,0.0,0.7223473719302763,0.7568735241236154,0.0345261521933391,bayes_7_metrics_alpha_00001
34,34,34,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'eigenvector': 1, 'eigentrust': 1}","{'logFC': 1.1397994799575215, 'betweenness': 5.917121344183359, 'pagerank': 6.341332673769735, 'closeness': 8.187432320368355, 'katz': 6.391992768812905, 'eigenvector': 5.41228170357935, 'eigentrust': 3.571469665607328}",0.13304015234278055,0.0,0.735581945317619,0.7724954022927464,0.03691345697512738,bayes_7_metrics_alpha_00001
35,35,35,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'eigenvector': 1, 'eigentrust': 1}","{'logFC': 2.6560918146471857, 'betweenness': 4.903087140905125, 'pagerank': 8.091363104429538, 'closeness': 8.266244759963573, 'katz': 6.20071493756082, 'eigenvector': 9.035998376726361, 'eigentrust': 3.8372032278583568}",0.1326991902730712,0.0,0.7277884860706082,0.7653307222330041,0.03754223616239594,bayes_7_metrics_alpha_00001
36,36,36,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'eigenvector': 1, 'eigentrust': 1}","{'logFC': 1.003618224022217, 'betweenness': 6.508280593404406, 'pagerank': 9.790832341279536, 'closeness': 1.4851834486637765, 'katz': 9.267416001797733, 'eigenvector': 7.111619529088866, 'eigentrust': 4.78174312001019}",0.13077634975749944,0.0,0.7347918418117222,0.7756780195239632,0.04088617771224101,bayes_7_metrics_alpha_00001
37,37,37,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'eigenvector': 1, 'eigentrust': 1}","{'logFC': 6.652685784766153, 'betweenness': 4.389222832711971, 'pagerank': 3.5701865352612456, 'closeness': 9.764051845224904, 'katz': 6.172403542372921, 'eigenvector': 8.459612271826238, 'eigentrust': 6.442444908766477}",0.13391227301088063,0.0,0.7284984116409365,0.7624271020001705,0.03392869035923396,bayes_7_metrics_alpha_00001
38,38,38,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'eigenvector': 1, 'eigentrust': 1}","{'logFC': 8.780314870491399, 'betweenness': 6.281500065904747, 'pagerank': 3.904128971530718, 'closeness': 7.750195873323939, 'katz': 7.282515236025727, 'eigenvector': 7.795739696209122, 'eigentrust': 8.724824527861381}",0.132787330127826,0.0,0.7210994498074552,0.7576051001073137,0.03650565029985853,bayes_7_metrics_alpha_00001
39,39,39,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'eigenvector': 1, 'eigentrust': 1}","{'logFC': 3.8564555136244922, 'betweenness': 7.037099117088285, 'pagerank': 6.597274311282713, 'closeness': 5.0578654277201425, 'katz': 4.613316251225865, 'eigenvector': 4.69730214929967, 'eigentrust': 4.4389247682836555}",0.13349708790558829,0.0,0.7365833190403714,0.7709307312950836,0.03434741225471216,bayes_7_metrics_alpha_00001
40,40,40,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'eigenvector': 1, 'eigentrust': 1}","{'logFC': 4.090116157969807, 'betweenness': 4.872225437391379, 'pagerank': 8.178749235627098, 'closeness': 9.764218701345271, 'katz': 4.840309084132295, 'eigenvector': 2.787128995843998, 'eigentrust': 7.1002080229088}",0.13245332646770255,0.0,0.7280857883474166,0.7608880305679628,0.032802242220546285,bayes_7_metrics_alpha_00001
