,logFC,betweenness,pagerank,closeness,katz,hits_authority,hits_hub,eigenvector,eigentrust
PCK1,-1.0751342663679968,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
THBS4,-1.0750178385803129,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
RP11-475I24.9,-1.0744794814265826,,,,,,,,
ITIH4,-1.0743189971989942,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
IQCA1L,-1.074302111668959,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
BIN2,-1.0740656604170866,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
DSCAML1,-1.073402417842638,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
MYO15B,-1.0730129864480387,,,,,,,,
AC090958.5,-1.0722337064753615,,,,,,,,
WNK2,-1.071632639980399,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
SULT1E1,-1.070149366273546,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
MLYCD,-1.0699109877865522,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
RP11-788M5.3,-1.0697823070546153,,,,,,,,
FREM1,-1.0694579719590418,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
RP11-104G3.2,-1.0694261693862874,,,,,,,,
RP11-303G3.6,-1.0684180434179031,,,,,,,,
GNA15,-1.0682587538224835,-0.1636552691787419,1.4639666306606494,1.6804360062726607,0.1403194613380425,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,1.0719774416434267
TRGV3,-1.0673970408237845,,,,,,,,
KRTAP5-1,-1.0666847170296045,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
ALDH1L1,-1.0659048745789337,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
VTN,-1.0654287103288396,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
AL132640.1,-1.0651788405927511,,,,,,,,
AC069542.1,-1.0646780194707879,,,,,,,,
SPTY2D1-AS1,-1.0644988268509619,,,,,,,,
HMCN2,-1.0640722076898534,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
ASB12,-1.0639619229740418,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
IL2RA,-1.063959359666331,-0.1636552691787419,1.4639666306606494,1.6804360062726607,0.1403194613380425,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,1.0719774416434267
GHRH,-1.0637485750192912,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
ARHGEF37,-1.063625278498766,-0.1625203288856452,2.5038142960806473,1.6804360062726607,0.4106867911765764,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,1.0719774416434267
TP53TG3D,-1.0632032682370602,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
ERG,-1.062323294111096,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
ZNF704,-1.0620059417676297,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
ANKRD20A7P,-1.0615791038559494,,,,,,,,
XX-FW81066F1.2,-1.0609445624469493,,,,,,,,
CETP,-1.0608690562350387,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
CTC-470E21.1,-1.0606207371182204,,,,,,,,
TPPP,-1.0597790255373452,0.04630868504415245,0.6625697665546278,-0.9226907550140757,0.4253558217377113,0.5568640336743402,0.5568640336743399,0.5568640061237699,0.6699675653288668
THSD7A,-1.059730090118022,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
ANKRD36BP1,-1.0593020080508992,,,,,,,,
HMGB1P41,-1.059177076237446,,,,,,,,
RP11-482L11.1,-1.0579438927480294,,,,,,,,
TNFSF10,-1.057584609074464,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
PLIN5,-1.0572864778750624,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
RIIAD1,-1.056621623201503,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
IGHV3-53,-1.056439542892092,,,,,,,,
CHN2,-1.0562805495404015,-0.1636552691787419,0.9440427979506505,0.6994560367288631,0.1430231346363899,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,1.4430322847183303
IGHV3-73,-1.0556136797176672,,,,,,,,
MYH14,-1.055432542185612,-0.1636552691787419,0.2472535009078677,-0.8942081629199953,0.14586853784789974,-0.1123890866324378,-0.1123890866324378,-0.11238907703707544,-0.027731966466640976
CHGB,-1.0545921351445042,-0.1636552691787419,0.9440427979506505,0.6994560367288631,0.1430231346363899,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,0.7986014596975761
LGI4,-1.0544435571047985,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
CLEC9A,-1.0543263910223493,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
P2RY2,-1.052900872089188,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
CMA1,-1.0513696506527586,-0.1636552691787419,0.6441597949934028,-0.03627894042898516,0.1457546614761479,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,0.5848784198462565
CBLN4,-1.0513038492032765,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
EDDM3B,-1.050224483911578,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
ARHGDIB,-1.0499685322628594,-0.1636552691787419,0.35285421292018054,-0.9725258636989015,0.14581342918010734,-0.11239015371470307,-0.11239015371470307,-0.1123901854850006,0.15444513350220923
SLC8A1,-1.0493225566894826,0.3202076091114956,2.3115323227030626,-0.8600025789772117,0.9794199358544483,-0.11238934406738131,-0.11238934406738131,-0.11238913971660089,1.1560315724798127
XCL2,-1.0492846543994272,-0.1636552691787419,1.4639666306606494,1.6804360062726607,0.1403194613380425,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,1.0719774416434267
P2RY12,-1.0487342172893215,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
SMIM9,-1.0482707107054023,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
RP11-517A5.6,-1.048025486725329,,,,,,,,
PI15,-1.0477673393035147,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
CACNA1S,-1.0476650133525875,-0.1636552691787419,0.6441597949934028,-0.03627894042898516,0.1457546614761479,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,1.1181955087744206
TSPAN8,-1.047293827441122,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
ADHFE1,-1.046527968526243,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
MYH4,-1.0461197200231767,-0.08731161879643545,0.7581884290841169,-0.7754122315690863,0.44444989654655925,-0.11234354909513881,-0.11234354909513881,-0.11234299160457835,0.6761693389448693
FRMD3,-1.0449878376810944,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
ALOX5,-1.0437948041142229,-0.16138538859254842,2.138963348119931,0.9447010291148126,0.41339073760075146,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,1.3130196121596638
KCNH7,-1.0436965691446642,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
MTCO3P22,-1.0436119625733815,,,,,,,,
RP11-777B9.5,-1.0429595845070652,,,,,,,,
IGKV1-6,-1.0429193527771234,,,,,,,,
COQ10A,-1.0424751239087888,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
SNAP91,-1.0417553486458406,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
RP11-541H12.1,-1.0403196413307905,,,,,,,,
MESTP1,-1.039949494762266,,,,,,,,
RPL39P40,-1.0395386422912876,,,,,,,,
AL591806.1,-1.0382766184791505,-0.1636552691787419,-0.45977401409710267,,-0.12999379503456612,-0.1123901538322967,-0.1123901538322967,-0.11239018572982583,-0.4122419306561887
IKZF1,-1.0370190128530319,-0.1636552691787419,0.32987060764323883,-0.9643266731618658,0.15401106886873545,-0.11239015379868567,-0.11239015379868567,-0.11239018565949682,-0.10060280645416862
