,logFC,betweenness,pagerank,closeness,katz,eigenvector,eigentrust
KIAA1211L,-11.324936709242802,0.0,0.00012445550715619165,,0.021658987442049527,0.0,0.0
GAD2,-11.322332436754198,0.002916100324733425,0.0014249152092759222,0.27143652561247217,0.024773080894713955,0.04916015872295536,0.0007916544622940818
HLA-DRA,-11.295226754692099,0.00042341110551742244,0.0009055316306805015,0.21575569816331047,0.02305620646244428,0.003308724005806589,0.0023135735153849033
ADGRA1,-11.2900099661412,0.0,0.00012445550715619165,,0.021658987442049527,0.0,0.0
RNASE1,-11.2870697374221,0.0,0.00012445550715619165,,0.021658987442049527,0.0,0.0
NOL4,-11.2844163653097,0.0,0.00012445550715619165,,0.021658987442049527,0.0,0.0
IAPP,-11.2738000946196,0.00042413604143307743,0.0006431062751834131,0.21599468320779797,0.022607667065313523,0.00196013783730675,0.0006945301879848537
CTXN2,-11.2574611786026,0.0,0.00012445550715619165,,0.021658987442049527,0.0,0.0
GPR27,-11.2467380873841,2.9245521984867635e-06,0.00047078435649704805,0.22088808337109198,0.022851345874356267,0.04527913353313024,0.00025976162044024536
FFAR3,-11.234229393509299,0.0,0.000385736808193066,0.1486280487804878,0.021882212708512504,8.505087290485022e-06,0.0003225258920457368
TFF1,-11.2174902626953,0.0,0.00012445550715619165,,0.021658987442049527,0.0,0.0
GPR6,-11.201526823148,2.312234140113541e-05,0.0004078208752857606,0.2245508982035928,0.02245325305601685,0.0205128219629933,0.0001360656107067952
PRSS1,-11.183974965963198,0.0024150835036610943,0.001477474949374448,0.234375,0.024817051301529742,0.002132318825487229,0.0018719329472995474
RAB25,-11.146973591549198,0.005182224460323435,0.0021184606893774427,0.24356732450662005,0.024693032671480236,0.0033600270048868633,0.0008447979331425266
SALL4P5,-11.1393835739416,,,,,,
CMTM8,-11.113388338666198,0.0,0.00012445550715619165,,0.021658987442049527,0.0,0.0
PCDH8,-11.0966462840534,0.0014601895542365778,0.0005886813743453032,0.19426180514046623,0.02210869959399095,0.00012887915622169024,5.955733801980959e-05
GPR142,-11.0518059671797,0.0,0.00012445550715619165,,0.021658987442049527,0.0,0.0
FBP1,-11.011314127048399,1.0015017518769395e-06,0.0010771587753869213,0.75,0.022098774943398344,1.3534776586402231e-128,0.0008710166919575073
LRRTM3,-10.978988097993698,0.0,0.00028368348958156947,0.17117275280898875,0.02188473952300219,0.00014490358431008008,6.276427160549146e-05
HLA-DRB1,-10.9654506156452,6.100222846616419e-05,0.000878291293952895,0.2156125608137992,0.02306099095352598,0.0034198436794440302,0.0017459462707191812
TMEM132D,-10.915676451813901,0.0,0.00012445550715619165,,0.021658987442049527,0.0,0.0
MMRN1,-10.8762642811588,0.0,0.0002507522357089809,0.16609880749574105,0.02188766624436162,5.448844386725531e-05,0.00024143628566491968
PCDH17,-10.8511196133705,0.0,0.00012445550715619165,,0.021658987442049527,0.0,0.0
TMEM176B,-10.7954067403492,0.0,0.0008297033810412773,1.0,0.021877765092979323,7.844541783579056e-156,0.0005
SERPINA3,-10.7867788744169,0.0,0.00012445550715619165,,0.021658987442049527,0.0,0.0
ZIM2,-10.758060531765402,0.0010616013795565005,0.0010279374205353993,0.22801683816651075,0.02307063048503435,0.008535406221447632,0.00019058348166338992
KIF12,-10.7577461838945,0.0,0.00012445550715619165,,0.021658987442049527,0.0,0.0
TSPAN7,-10.7392558596106,0.0,0.00012445550715619165,,0.021658987442049527,0.0,0.0
CLDN3,-10.7069982238438,0.0,0.0003761769163941357,0.184344866704481,0.021898277797899147,7.751714153908968e-05,4.9478403893380156e-05
SNAP91,-10.701232870436598,0.0008594724402838088,0.0013109858150667005,0.25476874836686697,0.02478697732887865,0.052739696183902444,0.0006702491194075471
AKAIN1,-10.687779239462401,0.0,0.00012445550715619165,,0.021658987442049527,0.0,0.0
UGT2A3,-10.671286405843698,0.0,0.00035628854920533915,0.16692347200821775,0.021886759333282216,5.524611559862169e-05,2.932053564052151e-05
UBE2QL1,-10.662833582621198,0.0,0.00012445550715619165,,0.021658987442049527,0.0,0.0
ITM2A,-10.6445723101545,0.0,0.00012445550715619165,,0.021658987442049527,0.0,0.0
PCSK1,-10.6257875978684,0.001773325999245276,0.0012535558420872517,0.23624909134964867,0.023588341214149107,0.004024891111514806,0.0007192693899315436
MAFA,-10.6220586471541,6.5181611657150705e-06,0.000711173520368441,0.22995283018867924,0.023279940662987064,0.006320888477821792,0.0008466304666200592
AC007326.9,-10.6144846394578,,,,,,
GALNT8,-10.6071446897016,0.0,0.00012445550715619165,,0.021658987442049527,0.0,0.0
RIIAD1,-10.5990647981569,0.0,0.00012445550715619165,,0.021658987442049527,0.0,0.0
C1QA,-10.5874893252347,0.0008750454538514991,0.0015143661458643064,0.17189703808180537,0.022990229731682,6.881552535954441e-05,0.001273610766885153
C22ORF42,-10.570807522089801,0.0,0.00012445550715619165,,0.021658987442049527,0.0,0.0
FGL1,-10.568702438787401,0.0,0.0002389203276846986,0.18427518427518427,0.02189529381414043,0.00014448775316666036,7.19269389931544e-05
GJB1,-10.544459901133198,0.0,0.000247404976763972,0.22449919410545705,0.021949227950661357,0.0011320315662853,2.9320535640521535e-05
KLHDC8A,-10.5393015546728,0.0,0.00012445550715619165,,0.021658987442049527,0.0,0.0
