"logFC"	"logCPM"	"PValue"
"ABCA2"	0.188970536573599	5.80714806639411	0.79482751130946
"ABCA3"	-2.20929301183326	5.56409997390895	0.00356406104065742
"ABCA4"	4.56850812387739	-2.1752290621969	7.78363844310585e-06
"ABCA5"	-3.11309411056246	6.2346967562031	7.49069835490026e-05
"ABCA6"	-0.425750012997008	2.51333509724928	0.563467380876951
"ABCA7"	-2.58819385179145	4.25673233152182	0.000763172436941702
"ABCA8"	-0.371132877729801	1.52016857411571	0.614621155827509
"ABCA9"	0.0784801971139237	3.21573879779883	0.9133973906094
"ABCB1"	-3.15287298171421	3.74891468526348	6.19273362569139e-05
"ABCB10"	0.444244821057761	3.91105366084491	0.541905871315885
"ABCB10P1"	0	-4.48279114601977	1
"ABCB10P3"	0	-4.48279114601977	1
"ABCB10P4"	-2.42567045533446	-3.71565095441748	0.116483618580655
"ABCB11"	-6.12601415059086	-1.62798093547684	1.52234512807659e-08
"ABCB4"	-1.25016910735107	1.00970123437715	0.0981406321786479
"ABCB5"	1.84063579340102	0.404922967354283	0.0145694231028251
"ABCB6"	-0.44816943209889	4.29186223401454	0.537731951263556
"ABCB7"	-1.38207369726556	4.20546319954362	0.0614432266500653
"ABCB8"	0.138409777859662	4.64268837509407	0.848988001738626
"ABCB9"	0.5490129874501	3.74663389894546	0.451774912027844
"ABCC1"	4.40803631569141	6.50605784769095	1.23394772541621e-07
"ABCC10"	1.80598108463752	4.71070207048449	0.0157477992720834
"ABCC11"	2.32393850573531	-0.00376142503153351	0.00231062935030135
"ABCC12"	-2.06382134237947	-3.5153807379956	0.0939032572103697
"ABCC13"	-1.29158412579921	0.125198803383379	0.0909000564676628
"ABCC2"	4.4797318126378	0.103373553129201	2.24349889504199e-07
"ABCC3"	0.744613015752738	4.76874043283881	0.307848616146406
"ABCC4"	4.57851596795958	5.31289669580639	4.98542532012257e-08
"ABCC5"	0.316945191696764	5.07010192672105	0.662959141212479
"ABCC6"	-0.592787474477843	2.8241282837541	0.417862924735586
"ABCC6P1"	-2.15466623065971	-0.429734460645355	0.00530350714594531
"ABCC6P2"	-2.84184661072065	0.579637193806295	0.000388804505631099
"ABCC8"	-16.0488635767362	8.98675595966975	1.35627630410787e-32
"ABCC9"	-0.0759818751856279	5.22881216789061	0.916714459592634
"ABCD1"	2.41835022092542	3.78324982898548	0.00156482195548188
"ABCD1P2"	2.54175156259249	-4.32824369941396	0.169473214051691
"ABCD1P3"	0.9543027938938	-4.43514178130276	1
"ABCD1P4"	1.13846200947865	-4.44953752078203	1
"ABCD1P5"	1.33864217296802	-4.19670557342395	0.534367385434656
"ABCD2"	2.17851804010935	-4.34619653838641	0.293350207275237
"ABCD3"	0.352381438855657	5.0275337046412	0.62834102452735
"ABCD4"	-0.503659396035992	4.72584806364342	0.489305336195314
"ABCE1"	1.00546719001329	5.98399094418757	0.170314252315604
"ABCF1"	0.747829326210342	6.34163122038017	0.305423108498435
"ABCF2"	1.45628181470902	5.88274190043083	0.04923064940005
"ABCF2P1"	3.09372234693824	-4.2244437489491	0.0626210561565035
"ABCF2P2"	0	-4.48279114601977	1
"ABCF3"	-0.361970258277039	6.01904989711615	0.618279741650578
"ABCG1"	-4.64387963497127	4.36695021823376	3.87035442748205e-08
"ABCG2"	4.04872900235155	2.14493360418206	8.02159701749918e-07
"ABCG4"	7.08593108755063	-2.10745746870246	2.41265096323588e-09
"ABCG5"	0.148928281091242	-0.622122873824489	0.81116791262361
"ABCG8"	1.50751691256611	-4.05908308081118	0.207978532115863
"ABHD1"	2.91922411265144	1.79699189504371	0.000191605990931203
"ABHD10"	-0.983052270594347	5.02238950390666	0.179733143097182
"ABHD11"	-1.87956363852748	5.17738339306993	0.0121946470071023
"ABHD12"	-1.33626846057983	6.51940755012275	0.0702110814367034
"ABHD12B"	1.41794969688781	1.84633299529055	0.0563994730231697
"ABHD13"	-0.790128419510641	4.69263881102799	0.279453779046439
"ABHD14A"	-3.91725571929396	5.63025886961327	1.52599008240308e-06
"ABHD14A-ACY1"	-1.63742681103324	2.1546915221924	0.0283237643098629
"ABHD14B"	-1.76702198662786	5.36807772876338	0.0179951003035782
"ABHD15"	-0.760657232587376	4.0640236253863	0.297573966052701
"ABHD16A"	-1.76016290724648	5.81812636986473	0.0184261650047499
"ABHD16B"	0.951197293785285	1.92736529221656	0.194107504929724
"ABHD17A"	-0.28387570830497	5.97363791932005	0.695947511783838
"ABHD17AP1"	3.14835018023907	-1.7649188088735	0.000128911848070194
"ABHD17AP3"	5.15500784883721	-0.644585567712386	1.25275719097294e-08
"ABHD17AP4"	-0.240712789887951	-3.65767733964559	0.701102091009907
"ABHD17AP5"	1.88090577795796	-3.88850289201077	0.098906764972368
"ABHD17AP6"	-1.11508626229909	-3.14947875406739	0.176768387411185
"ABHD17AP7"	0	-4.48279114601977	1
"ABHD17AP8"	0	-4.48279114601977	1
"ABHD17AP9"	0	-4.48279114601977	1
"ABHD17B"	-0.399201534987637	3.83843774722164	0.582591013662395
"ABHD17C"	1.34725620216761	4.46299785535018	0.0682251089442414
"ABHD18"	-0.440322216542614	3.90824859557271	0.546223790292182
"ABHD2"	-0.377760793182008	6.87457355893142	0.603118567590391
"ABHD3"	-3.11212412879168	4.82285217914344	7.54586869665088e-05
"ABHD4"	1.07419977494765	4.30665655542978	0.143739258261644
"ABHD5"	0.184448977816304	4.59295183328153	0.800433835285028
"ABHD6"	-0.893049407499399	3.65144613332605	0.221988449374917
